x	y	n	trajectory
52	54	4	8339,8554,8774,8984,9188,|44776,44994,45217,|45673,45898,|46802,47030,47257,47482,47713,47942,48174,48408,48642,48866,49097,49325,49550,49774,50005,50231,50459,50694,50923,51152,51381,51607,51831,52065,52290,52522,52751,52980,53213,53445,53673,53900,54134,54357,54590,54814,55043,55275,55505,55739,55970,56203,56437,56668,56906,57135,57363,57594,57822,58055,58281,58511,58748,58982,59220,59452,59688,59926,60157,60396,60632,60858,61092,61324,61550,61773,61994,62222,62456,62678,
52	62	1	32167,32393,32613,
52	158	5	19569,19785,|21541,21762,21986,|23767,23989,|24649,24868,25089,25315,25535,25759,25981,26205,|27092,27312,
53	54	3	6861,7079,7285,|12989,13198,|14248,14456,14660,14872,15079,15289,15497,15706,15922,
53	58	1	20662,20882,21102,21325,21542,
53	62	1	35116,35343,35572,35797,36022,36246,36467,
53	63	1	23544,23768,
53	159	1	20218,20435,20661,
54	64	1	20436,20664,
54	121	5	31315,31530,31744,31957,32169,32395,32615,32840,33061,33285,33512,33741,33974,34205,34438,34665,34891,35117,35344,35573,35799,36023,36247,36469,36689,36915,37145,37379,37602,37829,38062,38294,38517,38742,38967,39191,39413,39638,39861,40083,40306,40531,40748,40971,41195,41415,41635,41853,42074,42292,42528,42754,42980,43207,43433,|51833,52067,52292,52524,|52982,53215,53447,53675,53902,54136,54359,54592,54816,55045,55277,55507,55741,55972,56205,56439,56670,56908,|57366,57597,57825,58056,58284,58513,58751,58985,59223,59455,59691,59929,60160,60399,60634,60861,61095,61327,61553,61776,61997,62225,62459,62681,62916,63145,|63612,63844,64073,64304,64536,64767,64995,65237,
54	122	1	43884,44108,44328,44556,44778,44996,45219,45445,45675,45900,46127,46351,46575,46804,47032,47259,47484,47715,47944,48176,48410,48644,48868,49099,49327,49552,49776,50007,50233,50461,50696,50925,51154,51383,
54	196	2	60161,60400,60635,60862,61096,61328,61555,|61998,62226,62460,62682,62917,
55	179	8	35345,35574,35800,36024,36248,36470,36690,36916,37146,37380,37603,37830,38063,38295,38518,|39414,39639,39862,40084,40307,|40749,40972,41196,41416,41636,|42293,42529,|42981,43208,43434,43661,43885,44109,44329,44557,44779,44997,|46576,46805,47033,47260,47485,47716,47945,48177,48411,48645,48869,49101,49328,49553,49777,50008,50234,50462,50697,50926,51155,51384,51609,51834,52068,52293,52525,52753,52983,53216,53448,53676,53903,54137,54360,54593,|55046,55278,55508,55742,55973,56206,56440,56671,56909,57138,57367,57598,57826,58057,58285,58514,58752,58986,59224,59456,59692,59930,60162,60401,60636,60863,61097,61329,61554,61777,|64074,64305,
56	58	2	10236,10448,|17203,17417,
56	148	2	1037,1227,1431,|1824,2029,2228,2431,2638,2853,3061,3273,3483,3695,3907,4114,4320,4529,4742,4952,5158,5366,5574,5785,
56	174	3	55279,55509,55743,|58753,58988,59225,59457,|62227,62462,62683,62919,63146,63375,63614,63846,
56	175	1	32616,32842,33062,33287,33514,33742,33975,34208,34440,34667,34893,35118,35346,35575,35801,36026,36250,36472,36691,36918,37148,37382,37605,37832,38065,38296,38520,38744,38970,39193,39415,39640,39863,40086,40308,40533,40750,40973,41198,41418,41638,41854,42076,42295,42531,
57	93	2	2031,2230,2433,2640,2855,3063,3275,3485,3697,3910,4116,4322,4531,4744,4955,5160,5368,5576,5787,6005,6224,6440,|58516,58755,58989,
57	174	1	50464,50698,
